f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,observed_number_density_h3_mpc3,chi2_xi0,chi2_xi2,chi2_wp,chi2_density,chi2_cov,chi2_total_cov,chi2_total,status
0.02,0.8,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.34255198070506,278.6825537619097,108.3827387169678,1.383905702489101e-09,998.4489271880972,998.4489271894811,408.40784446096643,ok
0.04,0.8,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.90022774705389,37.11106969453994,307.3880089248093,1.383905702489101e-09,1003.9248622938679,1003.9248622952518,376.39930636778706,ok
0.02,0.6,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.42408823403537,317.9211636764837,108.32415489897522,1.383905702489101e-09,1005.9124738954335,1005.9124738968175,447.6694068108782,ok
0.04,0.6,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.756122991049473,75.7362281248498,307.2458079129186,1.383905702489101e-09,1025.4077824950657,1025.4077824964495,414.7381590302018,ok
0.02,1.0,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.426875867165233,282.3284698585631,108.24578437597738,1.383905702489101e-09,1068.1401754230826,1068.1401754244664,412.0011301030896,ok
0.02,1.2,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.271481772789752,298.0052639016608,108.26151445065894,1.383905702489101e-09,1113.7284048807103,1113.728404882094,427.53826012649336,ok
0.04,1.0,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.608783735131503,38.79716025313347,307.2174725071644,1.383905702489101e-09,1128.2200385891047,1128.2200385904885,377.6234164968133,ok
0.02,1.4,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.320684782640072,327.87385984294974,108.23880101507956,1.383905702489101e-09,1181.4413801242415,1181.4413801256253,457.43334564205327,ok
0.06,0.8,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,55.075709159376515,49.742752062953166,593.115819402284,1.383905702489101e-09,1211.805702937661,1211.8057029390447,697.9342806259976,ok
0.02,1.6,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.21032661936878,342.79526937366506,108.4949955275676,1.383905702489101e-09,1217.5217045265038,1217.5217045278876,472.50059152198537,ok
0.04,1.2,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.032681206303923,53.19580094431934,307.16080278135394,1.383905702489101e-09,1218.8510928042306,1218.8510928056144,391.3892849333611,ok
0.06,0.6,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,54.086034977805824,55.819915975570616,593.0685087685397,1.383905702489101e-09,1235.6074365268778,1235.6074365282616,702.9744597233,ok
0.02,1.8,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.10167672022039,358.340928848398,108.27143884341474,1.383905702489101e-09,1253.069345125198,1253.0693451265818,487.714044413417,ok
0.04,1.4,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,30.346282778117487,79.54302971094485,306.94047441816303,1.383905702489101e-09,1331.0038001412488,1331.0038001426326,416.82978690860926,ok
0.06,1.0,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,54.871778536935224,34.96413978620503,593.2264685380204,1.383905702489101e-09,1342.9180336110778,1342.9180336124616,683.0623868625446,ok
0.04,1.6,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,29.781469764793993,104.32396943374856,307.4360271337328,1.383905702489101e-09,1425.74281794092,1425.7428179423039,441.5414663336593,ok
0.06,1.2,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,54.03573029563664,24.341610102498144,593.5550423279848,1.383905702489101e-09,1443.428917709468,1443.4289177108517,671.9323827275035,ok
