rp_Mpch,wp
3.454385865230628627e-01,2.383683447498517012e+02
4.461616328126506992e-01,2.019466836125814098e+02
5.761318588373878224e-01,1.477633396044594178e+02
7.440822414307877164e-01,1.203514119947334535e+02
9.610091464640367898e-01,1.143365108010063835e+02
1.241507551491751293e+00,1.024992663137686009e+02
1.603799582543724789e+00,9.086497257351962276e+01
2.071449013970037001e+00,7.382772501076399863e+01
2.675350333064811181e+00,6.319871352782328700e+01
3.455279453563426362e+00,5.097514922268753423e+01
4.462671301523786660e+00,4.230989700496014194e+01
5.763690057653462873e+00,3.467430201657739985e+01
7.444183789475946611e+00,2.769580332808306267e+01
9.614218493540933608e+00,2.178279148466896942e+01
1.241693611914219098e+01,1.654722650879195101e+01
1.603603511123868230e+01,1.243927184359148441e+01
2.071017687521007034e+01,8.762555248078964354e+00
2.674674128826828934e+01,5.929429589343963691e+00
