label,split,covariance_mode,best_f_sat,best_alpha_s,best_f_sat_actual,best_chi2,delta_chi2_to_second,hartlap_scale
sham_extended,wp,diagonal,0.02,1.3,0.019999943565423665,1646.955540953993,0.13496296885568881,0.8210526315789474
sham_extended,wp,full,0.02,1.3,0.019999943565423665,767.2340567364296,0.1494256952720434,0.8210526315789474
sham_extended,xi02,diagonal,0.02,0.9,0.019999943565423665,851.0484068531216,19.801088366723434,0.4
sham_extended,xi02,full,0.04,1.3,0.03999988713084733,3834.743485739088,63.61405596008808,0.4
sham_extended,joint,diagonal,0.02,0.9,0.019999943565423665,957.311340990196,11.428670844066914,0.23157894736842105
sham_extended,joint,full,0.02,0.5,0.019999943565423665,1120.8244632617202,25.666693047836816,0.23157894736842105
