label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
sham_extended,joint,diagonal,0.23157894736842105,0.02,0.9,0.019999943565423665,957.311340990196,378.2204449092233,214.41445659200062,15.584390440527448,148.22159787669509
sham_extended,joint,diagonal,0.23157894736842105,0.02,1.1,0.019999943565423665,968.7400118342629,399.4153556579411,214.39943809758617,15.865902519005253,169.15001504134952
sham_extended,joint,diagonal,0.23157894736842105,0.02,0.7,0.019999943565423665,970.8936048821854,372.35991470689754,214.41907276513908,15.170001411881145,142.77084052987712
sham_extended,joint,diagonal,0.23157894736842105,0.02,1.3,0.019999943565423665,991.0197558356454,425.69915694170965,214.36421403002237,16.04153651635965,195.29340639532745
sham_extended,joint,diagonal,0.23157894736842105,0.02,0.5,0.019999943565423665,1031.1439895047079,406.1894255678455,214.434991990485,14.446596437845503,177.3078371395148
sham_extended,joint,diagonal,0.23157894736842105,0.04,1.1,0.03999988713084733,1886.6632180451813,685.1939443802279,631.5632687278395,42.46515796681135,11.165517685576845
sham_extended,joint,diagonal,0.23157894736842105,0.04,1.3,0.03999988713084733,1886.9962451982467,690.6326994081277,631.498813187938,42.634865280093045,16.49902094009638
sham_extended,joint,diagonal,0.23157894736842105,0.04,0.9,0.03999988713084733,1902.1178198725904,687.251854756998,631.5446153185007,41.96866075188178,13.73857868661522
sham_extended,joint,diagonal,0.23157894736842105,0.04,0.7,0.03999988713084733,1941.5548221795302,695.4796968529492,631.5217361675935,40.99240723397507,22.965553451380366
sham_extended,joint,diagonal,0.23157894736842105,0.04,0.5,0.03999988713084733,2017.9894470957584,714.4643214091737,631.6209400397576,38.99177201242127,43.851609356994686
sham_extended,joint,diagonal,0.23157894736842105,0.06,1.3,0.06000006584033906,3607.0924836146246,1473.5718471371745,1242.2163126397159,82.51914315836929,148.83639133908898
sham_extended,joint,diagonal,0.23157894736842105,0.06,1.1,0.06000006584033906,3655.4935802178156,1524.6351032984933,1242.3883378574849,82.45795335894823,199.78881208205985
sham_extended,joint,diagonal,0.23157894736842105,0.06,0.9,0.06000006584033906,3710.2182401672635,1573.4124102833478,1242.300430895068,81.73490468031308,249.3770747079664
sham_extended,joint,diagonal,0.23157894736842105,0.06,0.7,0.06000006584033906,3756.557449000416,1583.3874884944487,1242.3758490277773,79.97625241743026,261.0353870492409
sham_extended,joint,diagonal,0.23157894736842105,0.06,0.5,0.06000006584033906,3758.434772007299,1483.6113795872996,1242.4822254754147,76.02584701354253,165.10330709834207
sham_extended,joint,diagonal,0.23157894736842105,0.08,1.3,0.08000000940576273,6055.224975660321,2742.542445087357,2018.8994556442565,133.69546985760675,589.947519585494
sham_extended,joint,diagonal,0.23157894736842105,0.08,0.5,0.08000000940576273,6102.908291980095,2625.8640014913894,2018.7850391218212,123.10133822495581,483.97762414461226
