label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
minimal_hod,joint,diagonal,0.23157894736842105,0.02,1.3,0.019999943565423665,786.8310896874505,426.18673274433723,52.48602359970516,9.447369221501598,364.2533399231303
minimal_hod,joint,diagonal,0.23157894736842105,0.02,1.1,0.019999943565423665,789.2130656132613,423.3077034026024,52.485959037652876,9.274372210572622,361.5473721543767
minimal_hod,joint,diagonal,0.23157894736842105,0.04,1.3,0.03999988713084733,801.7614767630268,289.8865017946044,151.73921522000364,20.916620685793184,117.23066588880737
minimal_hod,joint,diagonal,0.23157894736842105,0.04,1.1,0.03999988713084733,803.6323915580582,282.6077468481724,151.74552731191378,20.596781978107906,110.26543755815052
minimal_hod,joint,diagonal,0.23157894736842105,0.02,0.9,0.019999943565423665,805.5133123181229,430.78984135791757,52.48018869454904,9.054190407585812,369.25546225578256
minimal_hod,joint,diagonal,0.23157894736842105,0.04,0.9,0.03999988713084733,828.0999510802403,289.3515533438637,151.73952401812588,20.136168931380656,117.47586039435703
minimal_hod,joint,diagonal,0.23157894736842105,0.02,0.7,0.019999943565423665,844.1668728387596,460.3831277191796,52.48082215098968,8.771668471797936,399.1306370963918
minimal_hod,joint,diagonal,0.23157894736842105,0.04,0.7,0.03999988713084733,889.0170823318675,326.218297399946,151.72928620353431,19.444043890477104,155.0449673059344
minimal_hod,joint,diagonal,0.23157894736842105,0.02,0.5,0.019999943565423665,922.8935422173796,533.7179981250782,52.48118748048155,8.484936396320535,472.7518742482759
minimal_hod,joint,diagonal,0.23157894736842105,0.04,0.5,0.03999988713084733,1018.486401092341,433.6972754366071,151.7283143631526,18.52624813344246,263.44271294001186
minimal_hod,joint,diagonal,0.23157894736842105,0.06,1.3,0.06000006584033906,1296.4474777368464,414.41855594965034,356.78472221561356,44.65041060786593,12.983423126170702
minimal_hod,joint,diagonal,0.23157894736842105,0.06,1.1,0.06000006584033906,1301.8596871646118,411.03666900167894,356.80637414639494,44.22674457301097,10.00355028227286
minimal_hod,joint,diagonal,0.23157894736842105,0.06,0.9,0.06000006584033906,1327.563847892646,413.0073315872059,356.8356195913072,43.4691674022949,12.702544593603617
