rp_Mpch,wp
3.454339744211656349e-01,2.426906878263423266e+02
4.461677424589666763e-01,2.035288281240657113e+02
5.761391780160367571e-01,1.499849207485106035e+02
7.440812077088978516e-01,1.215618120328680050e+02
9.610178706893617306e-01,1.145051890594735653e+02
1.241514206556928013e+00,1.027585217976549359e+02
1.603796596026327181e+00,9.079731532413165951e+01
2.071445776825271423e+00,7.387228869338784421e+01
2.675353498889785353e+00,6.340644471945808647e+01
3.455282124294273061e+00,5.112369183652105420e+01
4.462677741023581390e+00,4.220353696370172969e+01
5.763705954168546697e+00,3.463847612965113143e+01
7.444215011973557949e+00,2.763552077694602360e+01
9.614256630936909076e+00,2.168917028051775375e+01
1.241699196563843799e+01,1.651030449051461346e+01
1.603613469759028121e+01,1.243049363729167212e+01
2.071034978983594144e+01,8.750607875719541795e+00
2.674702138095412352e+01,5.922787682597412839e+00
