rp_Mpch,wp
3.454368395298351713e-01,2.392169611641549523e+02
4.461584374948783793e-01,2.003836006794881541e+02
5.761395257662613734e-01,1.483676182289675580e+02
7.440762587525020511e-01,1.207609700008441109e+02
9.610101298228459488e-01,1.141425421951727230e+02
1.241499048166974539e+00,1.028036103447613243e+02
1.603794195184655047e+00,9.077441993513798479e+01
2.071437480584508162e+00,7.390718919299473555e+01
2.675340712707146462e+00,6.351627642301782828e+01
3.455280879580310049e+00,5.121467050017070477e+01
4.462657714063812620e+00,4.223790684190510092e+01
5.763677669236964896e+00,3.469631646485908050e+01
7.444175058251534693e+00,2.772711491585926069e+01
9.614198872069355417e+00,2.172831188744005715e+01
1.241689281493526131e+01,1.661577339178042578e+01
1.603596228396621015e+01,1.251111486486671431e+01
2.071006956731846316e+01,8.777712539973752115e+00
2.674660547791474130e+01,5.922303005932122666e+00
