rp_Mpch,wp
3.454351408533694601e-01,2.427553176161112560e+02
4.461644728490370415e-01,2.021027714678923815e+02
5.761366959974119073e-01,1.493635169246740304e+02
7.440814134460327356e-01,1.209405695519610617e+02
9.610164370865763583e-01,1.143896518953724097e+02
1.241506966857663485e+00,1.027559820179011467e+02
1.603797191463225857e+00,9.081823728401548124e+01
2.071447590455903764e+00,7.365255848342945910e+01
2.675352841607193000e+00,6.328928849176505622e+01
3.455281004234527664e+00,5.103031867969092161e+01
4.462677689332008590e+00,4.212022978495107850e+01
5.763702120012099250e+00,3.455911918209899625e+01
7.444198752683239384e+00,2.753871892078327122e+01
9.614241898968867162e+00,2.164538007369759498e+01
1.241695862561286212e+01,1.648491583955799911e+01
1.603608038660521018e+01,1.239388980753787273e+01
2.071025948974911302e+01,8.700113292889369632e+00
2.674686177773203255e+01,5.848837526593038127e+00
