rp_Mpch,wp
3.454400887580599822e-01,2.404105940149059677e+02
4.461655225086495480e-01,2.020370200225742394e+02
5.761323407416871767e-01,1.488714003316006824e+02
7.440839695219507721e-01,1.209258567265990365e+02
9.610088945017764006e-01,1.139473348808021029e+02
1.241502586938687314e+00,1.023837390429992951e+02
1.603795719804424591e+00,9.085173037995237166e+01
2.071443374823904726e+00,7.350895000638901422e+01
2.675357771619272018e+00,6.317741374428218393e+01
3.455277657597200403e+00,5.085352875251585658e+01
4.462670597058373545e+00,4.199089528630049983e+01
5.763688292220038534e+00,3.436624270788055924e+01
7.444185008409552218e+00,2.747207099772449368e+01
9.614212953226559222e+00,2.154933806393769302e+01
1.241693558540931264e+01,1.636416311971171922e+01
1.603603512453169344e+01,1.226403064778515350e+01
2.071019003147080895e+01,8.610304761500273685e+00
2.674679973221924456e+01,5.804249824100909727e+00
